,Lux
19/04/19 03:36:46,0.00
19/04/19 03:36:48,0.00
19/04/19 03:36:51,0.00
19/04/19 03:36:55,0.00
19/04/19 03:36:57,0.00
19/04/19 03:37:01,0.00
19/04/19 03:37:03,0.00
19/04/19 03:37:05,0.00
19/04/19 03:37:10,0.00
19/04/19 03:37:14,0.00
19/04/19 03:37:18,0.00
19/04/19 03:37:20,0.00
19/04/19 03:37:24,0.00
19/04/19 03:37:28,0.00
19/04/19 03:37:33,0.00
19/04/19 03:37:35,0.00
19/04/19 03:37:39,0.00
19/04/19 03:37:43,0.00
19/04/19 03:37:47,0.00
19/04/19 03:37:51,0.00
19/04/19 03:37:54,0.00
19/04/19 03:37:58,0.00
19/04/19 03:38:02,0.00
19/04/19 03:38:06,0.00
19/04/19 03:38:10,0.00
19/04/19 03:38:12,0.00
19/04/19 03:38:17,0.00
19/04/19 03:38:21,0.00
19/04/19 03:38:25,0.00
19/04/19 03:38:27,0.00
19/04/19 03:38:31,0.00
19/04/19 03:38:36,0.00
19/04/19 03:38:40,0.00
19/04/19 03:38:42,0.00
19/04/19 03:38:46,0.00
19/04/19 03:38:50,0.00
19/04/19 03:38:55,0.00
19/04/19 03:38:59,0.00
19/04/19 03:39:01,0.00
19/04/19 03:39:05,0.00
19/04/19 03:39:09,0.00
19/04/19 03:39:13,0.00
19/04/19 03:39:18,0.00
19/04/19 03:39:20,0.00
19/04/19 03:39:24,0.00
19/04/19 03:39:28,0.00
19/04/19 03:39:32,0.00
19/04/19 03:39:34,0.00
19/04/19 03:39:39,0.00
19/04/19 03:39:43,0.00
19/04/19 03:39:47,0.00
19/04/19 03:39:51,0.00
19/04/19 03:39:53,0.00
19/04/19 03:39:58,0.00
19/04/19 03:40:02,0.00
19/04/19 03:40:06,0.00
19/04/19 03:40:08,0.00
19/04/19 03:40:12,0.00
19/04/19 03:40:16,0.00
19/04/19 03:40:21,0.00
19/04/19 03:40:25,0.00
19/04/19 03:40:27,0.00
19/04/19 03:40:31,0.00
19/04/19 03:40:35,0.00
19/04/19 03:40:39,0.00
19/04/19 03:40:44,0.00
19/04/19 03:40:46,0.00
19/04/19 03:40:50,0.00
19/04/19 03:40:54,0.00
19/04/19 03:40:58,0.00
19/04/19 03:41:00,0.00
19/04/19 03:41:05,0.00
19/04/19 03:41:09,0.00
19/04/19 03:41:13,0.00
19/04/19 03:41:17,0.00
19/04/19 03:41:19,0.00
19/04/19 03:41:24,0.00
19/04/19 03:41:28,0.00
19/04/19 03:41:32,0.00
19/04/19 03:41:34,0.00
19/04/19 03:41:38,0.00
19/04/19 03:41:42,0.00
19/04/19 03:41:47,0.00
19/04/19 03:41:51,0.00
19/04/19 03:41:53,0.00
19/04/19 03:41:57,0.00
19/04/19 03:42:01,0.00
19/04/19 03:42:05,0.00
19/04/19 03:42:10,0.00
19/04/19 03:42:12,0.00
19/04/19 03:42:16,0.00
19/04/19 03:42:20,0.00
19/04/19 03:42:24,0.00
19/04/19 03:42:26,0.00
19/04/19 03:42:31,0.00
19/04/19 03:42:35,0.00
19/04/19 03:42:39,0.00
19/04/19 03:42:43,0.00
19/04/19 03:42:45,0.00
19/04/19 03:42:50,0.00
19/04/19 03:42:54,0.00
19/04/19 03:42:58,0.00
19/04/19 03:43:00,0.00
19/04/19 03:43:04,0.00
19/04/19 03:43:08,0.00
19/04/19 03:43:13,0.00
19/04/19 03:43:17,0.00
19/04/19 03:43:19,0.00
19/04/19 03:43:23,0.00
